nct_id,sponsor_raw,drug_raw,phase,status,condition,start_date,completion_date,sponsor_key,drug_key,ticker,generic_name,brand_name,manufacturer_name,route,product_type,is_public_pharma,sponsor_type
NCT00916578,M.D. Anderson Cancer Center,Capecitabine,PHASE2,COMPLETED,Breast Cancer,2009-06-05,2017-06-06,M D ANDERSON CANCER CENTER,capecitabine,,CAPECITABINE,capecitabine,Dr. Reddy's Laboratories Limited,ORAL,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT03088878,"Oncternal Therapeutics, Inc",Cirmtuzumab (2-16 kg/mg) plus Ibrutinib,PHASE1,COMPLETED,B-cell Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Mantle Cell Lymphoma; Marginal Zone Lymphoma,2018-01-03,2024-09-25,ONCTERNAL THERAPEUTICS,cirmtuzumab 2-16 kg mg plus ibrutinib,,,,,,,False,"Other (biotech, private, etc.)"
NCT03088878,"Oncternal Therapeutics, Inc",Cirmtuzumab (300mg) plus Ibrutinib,PHASE1,COMPLETED,B-cell Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Mantle Cell Lymphoma; Marginal Zone Lymphoma,2018-01-03,2024-09-25,ONCTERNAL THERAPEUTICS,cirmtuzumab 300mg plus ibrutinib,,,,,,,False,"Other (biotech, private, etc.)"
NCT03088878,"Oncternal Therapeutics, Inc",Cirmtuzumab (600 mg) plus ibrutinib,PHASE1,COMPLETED,B-cell Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Mantle Cell Lymphoma; Marginal Zone Lymphoma,2018-01-03,2024-09-25,ONCTERNAL THERAPEUTICS,cirmtuzumab 600 mg plus ibrutinib,,,,,,,False,"Other (biotech, private, etc.)"
NCT03088878,"Oncternal Therapeutics, Inc",Cirmtuzumab (RDR) plus ibrutinib,PHASE1,COMPLETED,B-cell Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Mantle Cell Lymphoma; Marginal Zone Lymphoma,2018-01-03,2024-09-25,ONCTERNAL THERAPEUTICS,cirmtuzumab rdr plus ibrutinib,,,,,,,False,"Other (biotech, private, etc.)"
NCT03088878,"Oncternal Therapeutics, Inc",Cirmtuzumab plus ibrutinib,PHASE1,COMPLETED,B-cell Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Mantle Cell Lymphoma; Marginal Zone Lymphoma,2018-01-03,2024-09-25,ONCTERNAL THERAPEUTICS,cirmtuzumab plus ibrutinib,,,,,,,False,"Other (biotech, private, etc.)"
NCT03088878,"Oncternal Therapeutics, Inc",Ibrutinib alone,PHASE1,COMPLETED,B-cell Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Mantle Cell Lymphoma; Marginal Zone Lymphoma,2018-01-03,2024-09-25,ONCTERNAL THERAPEUTICS,ibrutinib alone,,,,,,,False,"Other (biotech, private, etc.)"
NCT05608785,Henan Cancer Hospital,IBI315,PHASE1,UNKNOWN,Gastric Cancer; Gastroesophageal-junction Cancer,2023-01-01,2024-10-01,HENAN CANCER HOSPITAL,ibi315,,,,,,,False,Academic / medical / govt
NCT05608785,Henan Cancer Hospital,Oxaliplatin,PHASE1,UNKNOWN,Gastric Cancer; Gastroesophageal-junction Cancer,2023-01-01,2024-10-01,HENAN CANCER HOSPITAL,oxaliplatin,,OXALIPLATIN,Oxaliplatin,Meitheal Pharmaceuticals Inc.,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT05608785,Henan Cancer Hospital,Capecitabine,PHASE1,UNKNOWN,Gastric Cancer; Gastroesophageal-junction Cancer,2023-01-01,2024-10-01,HENAN CANCER HOSPITAL,capecitabine,,CAPECITABINE,capecitabine,Dr. Reddy's Laboratories Limited,ORAL,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
